,Title,Company,Work_Environment,Job_Description,When_Posted,Pay,City,State,Rating
250,"Sr.Principal Applied Scientist, Amazon Prime Video Content & Partner Lifecycle",Amazon.com Services LLC,,• PhD in Computer Science/Math or a related field. • 15+ years’ industry/academic experience in building machine learning models. • Experience building complex…,Posted 30+ days ago·,240100.0,Los Angeles,CA,
251,Data Governance Manager,Logic20/20 Inc.,,"Company Description Logic20/20 invests in being a “Best Company to Work For,” where talented people come together to deliver exceptional solutions. We bring…",Posted 6 days ago·,170000.0,Los Angeles,CA,
252,Principal Data Scientist,FLYR Labs,Hybrid,Our Vision FLYR is focused on the relentless application of advanced and intuitive technologies that help transportation leaders unlock their ultimate…,Posted 30+ days ago·,,   Los Angeles,CA,
253,Senior TikTok Product Manager - Social Product,TikTok,,Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices…,Posted 30+ days ago·,266000.0,Los Angeles,CA,
254,Insights and Analytics Manager,Deloitte,,"Insights and Analytics Manager Data Science and Analytics Craft, Experience Agency In today's world, customers expect companies to know who they are and…",Posted 2 days ago·,,Los Angeles,CA,
255,"Data Science Manager, Marketing Mix Model",FanDuel,,FanDuel is looking for a data science manager to lead the team developing and evolving our internal Marketing Mix Model.,Posted 30+ days ago·,180000.0,Los Angeles,CA,
256,"Scientific Data Analyst, Sr. / Heart Institute Research",Children's Hospital Los Angeles,,To establish and support a data server and facilitate web-based user access to data.,Posted 30+ days ago·,,Los Angeles,CA,
257,"Data Scientist, Investigations and Insights, Trust and Safety - USDS",TikTok,,Help mentor a team of data scientists and data analysts to execute team roadmap.,Posted 30+ days ago·,312866.0,Los Angeles,CA,
258,"Lead Software Engineer, AI Productivity Startup",Recruiting From Scratch,Remote,Who is Recruiting from Scratch:,Posted 15 days ago·,200000.0,  Los Angeles,CA,
259,"Senior Data Engineer, Public Company",Recruiting From Scratch,,"5+ years of experience working with data at scale, including data engineering, business intelligence, data science, or related field.",Posted 30+ days ago·,200000.0,Santa Monica,CA,
260,Senior SEM Analyst,Tripadvisor,Remote,Analyze marketing data to identify actionable insights.,Posted 30+ days ago·,115000.0,  Los Angeles,CA,
261,"AI - Innovation, Delivery and Business Development Leader (Consumer & Retail Focus)",Deloitte,,Join us to expand your technical career through the lens of professional services and consulting and help create novel solutions to advance your data science &…,Posted 30+ days ago·,,Los Angeles,CA,
262,Senior Data Architect,USC,,"8 years in information technology, big data, data science, analytics platforms and/or higher education.",Posted 30+ days ago·,170000.0,Los Angeles,CA,
263,"Senior Machine Learning Engineer, AI Video Ads",Recruiting From Scratch,Remote,Who is Recruiting from Scratch:,Posted 1 day ago·,220000.0,  Los Angeles,CA,
264,"Founding Fullstack Engineer, AI Video Startup",Recruiting From Scratch,Remote,Who is Recruiting from Scratch:,Posted 1 day ago·,220000.0,  Los Angeles,CA,
265,Digital Modeling Engineer III,ManTech,,"Bachelor’s degree in computational engineering analysis or Master’s degree in computer science, data science, engineering, or mathematics.",Posted 30+ days ago·,180100.0,El Segundo,CA,
266,Charge Capture Coordinator - Clinical Revenue Integrity,Keck Medical Center of USC,,Req Must have excellent data entry and quality outcome skills.,Posted 18 days ago·,94016.0,Alhambra,CA,
267,Director - Marketing Strategy & Data Intelligence,Zeta Global,,Collaborate to improve predictive model fidelity – both the speed to market and predictability of model outcomes - through the combination of first party data…,Posted 14 days ago·,160000.0,El Segundo,CA,
268,AI Partnerships Lead,Deloitte,,"SFL Scientific, a Deloitte Business, is a U.S. based, data science consulting firm specializing in building industry-specific, artificial intelligence (AI)…",Posted 30+ days ago·,,Los Angeles,CA,
269,Senior Backend Engineer (AI/ML),Recruiting From Scratch,Remote,Who is Recruiting from Scratch:,Posted 30+ days ago·,200000.0,  Los Angeles,CA,
