,Title,Company,Work_Environment,Job_Description,When_Posted,Pay,City,State,Rating
73,Applied Scientist I,Capital Group Companies,,"“I can succeed as an Applied Scientist at Capital Group” As an Applied Scientist on our Global Insights and Analytics team, you will play a key role in…",Posted 30+ days ago·,266482.0,Los Angeles,CA,
74,Machine Learning Engineer,"Millennium Space Systems, A Boeing Company",,"Company Overview Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers. At Millennium, you…",Posted 30+ days ago·,111250.0,El Segundo,CA,
75,Product Marketing Assistant Manager,The Walt Disney Studios,,"Partner with the consumer insights, data science, and analytics teams to define goals and track the success of key launches and monitor results to inform future…",Posted 30+ days ago·,136700.0,Glendale,CA,
76,Business Data Engineer,Latham & Watkins LLP,,"This role will be responsible for developing, researching, and implementing data analysis projects including but not limited to data reporting, data…",Posted 30+ days ago·,,Los Angeles,CA,
77,Senior Data Analyst,"Evite, Inc.",,Understanding of data warehouse architecture and data design.,Posted 30+ days ago·,,Glendale,CA,
78,Business & Forecasting Analyst,Coursera,Remote,"This person must have proven experience with forecasting, requirements gathering, financial modeling, data analysis, data reporting & visualization, and…",Posted 20 days ago·,,  Los Angeles,CA,
79,Department of Biostatistics: Non-Senate Faculty (NSF) Unit 18 Pre-six Lecturer for AY 24-25,UCLA,,Biostatistics / Ucla Fielding School Of Public / UCLA.,Posted 3 days ago·,13804.5,Los Angeles,CA,
80,Programmer/Analyst - Smidt Heart Institute,CEDARS-SINAI,,"Bachelor’s degree required, preferable in computer science or data science.",Posted 30+ days ago·,,Los Angeles,CA,
81,Staff Analytics Engineer,Warner Bros. Discovery,,Design and implement data models that support flexible querying and data visualization.,Posted 30+ days ago·,244400.0,Culver City,CA,
82,"Manager, Data Analytics",StackCommerce,Remote,Enhance transparency around data decisions: document and publish data governance decisions and run-down data quality issues at the source.,Posted 30+ days ago·,,  Venice,CA,
83,Senior Data Engineer,GOBankingRates,Remote,"Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Posted 30+ days ago·,,  Los Angeles,CA,
84,AWS Data Engineer - Mumbai,Fugetron Corporation,,5+ years of professional experience in software development with familiarity in data engineering or data science.,Posted 28 days ago·,,Los Angeles,CA,
85,Staff Data Scientist,GOBankingRates,Remote,"Strong skills in data preprocessing, feature engineering, and data wrangling to extract meaningful insights from raw data.",Posted 30+ days ago·,,  Los Angeles,CA,
86,Chief Data & Artificial Intelligence Officer (CDAIO),UCLA,,"Understanding of data governance, privacy, and security in AI applications.",Posted 17 days ago·,282300.0,Los Angeles,CA,
87,Chief AI Officer,Proper Hospitality,,"Oversee the build-out of AI infrastructure and data pipelines, leveraging guest data, property management systems (PMS), and other hospitality-specific data…",Today·,250000.0,Los Angeles,CA,
88,Senior Data Analyst,Circle,Remote,Expert in data analyses using SQL.,Posted 4 days ago·,162500.0,  Los Angeles,CA,
89,Master of Applied Statistics and Data Science Adjunct Professor - Spring 2024,UCLA,,"Ideal candidates will have a Ph.D. in Statistics or a related field, a demonstrated excellence in teaching, knowledge of and experience with R, experience in…",Posted 25 days ago·,40000.0,Los Angeles,CA,
90,Data Engineer,InStride,,"at InStride Los Angeles, CA or Remote At InStride, it’s simple. We believe the more you invest in your people, the more skilled they become, and the better…",Posted 30+ days ago·,,Los Angeles,CA,
91,"Director/ Sr. Director, Data Analytics",Shout! Factory,,"The Director/Sr. Director, Data Analytics will primarily be responsible for the use of content, marketing, product, and ad analytics in parallel with data…",Posted 5 days ago·,130000.0,Los Angeles,CA,
92,"Growth Marketing Analyst, Paid Social",Thrive Causemetics,,"Location: In Office 4-5 days/week Who We Are: Thrive Causemetics is Bigger Than Beauty™: We are an independent, female-owned beauty brand that creates high…",Posted 30+ days ago·,,Los Angeles,CA,
93,Application Engineer,MathWorks,Hybrid,MathWorks has a hybrid work model that enables staff members to split their time between office and home. The hybrid model provides the advantage of having…,Posted 18 days ago·,140000.0,   Torrance,CA,
94,Senior Process Engineer (Advanced R&D),Freeform,,"SENIOR PROCESS ENGINEER (ADVANCED R&D) Freeform is deploying software-defined, autonomous metal 3D printing factories around the world, bringing the…",Posted 21 days ago·,200000.0,Los Angeles,CA,
95,Mid-Level Staff Analyst,BOEING,,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a…",Posted 11 days ago·,106950.0,El Segundo,CA,
96,Data & Analytics Delivery Executive,Accenture,Hybrid,"We are: Accenture Song accelerates growth for our clients across industries through sustained focus on improving customer acquisition, conversion, and…",Just posted·,,   Los Angeles,CA,
97,"Associate Director, Analytics","Horizon Media, Inc.",,"Job Description Job Summary Horizon Media runs the premier marketing analytics practice in the United States combining great technology, methods and talent…",Posted 30+ days ago·,145000.0,Los Angeles,CA,
98,DATA & SYSTEMS ENGINEER,Iris.TV,,"IRIS.TV is the world's leading video data platform. Founded in 2013, our mission is to connect and activate video data from any source to power better…",Posted 30+ days ago·,,Los Angeles,CA,
99,"Water Resources Engineer, Scientist, or Data Scientist",LimnoTech,,Come Work With Us: Be Exceptional. Deliver Excellence. Make A Difference. LimnoTech is a leading environmental engineering firm with clients who face water…,Posted 30+ days ago·,,Los Angeles,CA,
100,Scheduling Pathways and Technology Director (Fixed Hybrid),UCLA Health,,"Description UCLA Health runs and operates over 200 outpatient clinics located in Southern California with over 3,000,000 outpatient encounters annually.…",Posted 30+ days ago·,250600.0,Los Angeles,CA,
101,"Analyst, Analytics & AI Enablement",Herbalife,,"Overview: THE ROLE: As an Analyst in the Analytics & AI Enablement team, you will work closely with Sr. Manager of AI & Analytics in crafting strategy,…",Today·,,Torrance,CA,
102,Applied Scientist,"Amazon Development Center U.S., Inc. - B02",,"- PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience - Experience in patents or publications at top-tier peer-reviewed conferences…",Posted 18 days ago·,136000.0,Pasadena,CA,
103,DATA SCIENTIST SUPERVISOR,Los Angeles County Department of Human Resources,,TYPE OF RECRUITMENT OPEN COMPETITIVE EXAM NUMBER Y1765A APPLICATION FILING PERIOD 10/23/2023 AT 8:00 A.M. (PT) This examination will remain open until…,Posted 30+ days ago·,,Los Angeles County,CA,
104,Machine Learning Engineer,Tencent,,"Work Mode: Onsite Responsibilities: As a Machine Learning Engineer, you will be a crucial member of our development team, working closely with game designers,…",Posted 30+ days ago·,,Los Angeles,CA,
105,Postdoctoral Scholar in Machine Learning in Medicine,UCLA,,"PhD in engineering, computer science, or related field.",Posted 30+ days ago·,80000.0,Los Angeles,CA,
106,Sr Data Governance Analyst,Disney Direct to Consumer,,"Relevant degree or certification in library and information science, computer science, or data science.",Posted 18 days ago·,151100.0,Burbank,CA,
107,"Senior Data Scientist, 5+ Years of Experience",Snapchat,,5+ years of experience in quantitative analysis & data science or a related field.,Posted 30+ days ago·,235000.0,Los Angeles,CA,
108,Machine Learning Engineer,Devolved AI,,Ensure best practices in data handling and model development are followed.,Posted 1 day ago·,,Los Angeles,CA,
109,"Manager, Data Analytics",Disney Music Group,,"Experience manipulating large, transaction level datasets and interpreting data trends from multiple disparate data sources.",Posted 30+ days ago·,182490.0,Burbank,CA,
110,Senior Data Scientist - Personalization & Recommendations,Fox Corporation,,"Our current advanced digital solutions, accessed by millions across web, mobile, and living room devices, signify just the start of our ambitious journey.",Posted 30+ days ago·,175000.0,Los Angeles,CA,
111,Automotive Marketing Analyst,Lumenance,,"Data Analysis: Identify, analyze, and develop predictive models and interpret trends or patterns using data sets of varying size and complexity.",Posted 30+ days ago·,,Torrance,CA,
112,Senior Data Scientist,Disney Direct to Consumer,,Experience fully integrating data science solutions into the business and operationalizing ML models.,Posted 30+ days ago·,182490.0,Santa Monica,CA,
113,"LA Galaxy, Sr Data Analyst- Marketing",AEG Worldwide,,Work with the Data Engineer to ensure data is structured properly for analysis to ensure the data desired is received.,Posted 20 days ago·,,Carson,CA,
114,"Data Scientist, Product Analytics",Meta,,"Communication and influence: You won’t simply present data, but tell data-driven stories.",Posted 30+ days ago·,204000.0,Los Angeles,CA,
115,"Manager, Data Science",Disney Direct to Consumer,,Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Posted 30+ days ago·,200200.0,Santa Monica,CA,
116,"Sr. Data Analyst, Brand Marketing",Golden Hippo,Hybrid,"Using familiarity with tools such as BigQuery, Fivetran, and other data orchestration platforms, maintain the accuracy of data through data quality controls and…",Posted 30+ days ago·,116800.0,   Los Angeles,CA,
117,"Sr Product Manager I, Data Solutions & Instrumentation (ESPN Fantasy)",Disney Entertainment & ESPN Technology,,"Advanced degree in computer science, information systems, software, or data science.",Posted 30+ days ago·,182490.0,Santa Monica,CA,
118,"Marketing Science Lead, North America",Snapchat,,"Access, analyze, interpret, and communicate ads performance insights using a wide range of standard data science tooling.",Posted 30+ days ago·,194000.0,Los Angeles,CA,
119,Claims Research/ Data Analyst Sr (EDI/Edifecs),Molina Healthcare,,Validates data received on claims to identify billing issues that will impact claims processing and payment.,Posted 30+ days ago·,129589.63,Long Beach,CA,
120,Scientific Research Associate - Jonsson Cancer Center,UCLA Health,,Prior experience working in thewet-lab component of a large cancer data science group would be considered akey asset.,Posted 30+ days ago·,120931.2,Los Angeles,CA,
121,"Title V Data Research Analyst, Institutional Planning & Research Department",Mount Saint Mary's University,,"Bachelor's degree required in data science, data analysis or a related field; Master's degree preferred.",Posted 30+ days ago·,5666.67,Los Angeles,CA,
122,Senior Data Scientist - LLM,Spotter,,"In addition to funding, Spotter provides creators with in-depth data insights into the performance of their existing content, enabling them to leverage the full…",Posted 30+ days ago·,,Culver City,CA,
123,"Software Development Engineer II, Ring Data Science and Engineering",Amazon.com Services LLC,,"Develop tools to scale and manage large data clusters, automate onboarding of data, and develop self-service interfaces for the data management lifecycle.",Posted 11 days ago·,115000.0,Hawthorne,CA,
124,"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS",TikTok,Hybrid,Expert experience pulling large and complex data using SQL and writing data pipelines.,Posted 30+ days ago·,,   Los Angeles,CA,
125,Lead Space Vehicle Test Director,BOEING,,Research and refine data collection requirements to improve quality of data sets.,Posted 3 days ago·,164450.0,El Segundo,CA,
126,"Sr. Analyst, HRIS & HR Analytics",Valley Presbyterian,,Applying data science techniques to analyze data trends and generate insights to help inform continuous process improvement.,Posted 26 days ago·,143000.0,Van Nuys,CA,
127,Senior Accountant,Resident,Remote,Account for transactions under US GAAP and in accordance with company accounting policies.,Posted 30+ days ago·,,  Los Angeles,CA,
128,Chief Technology Officer,Voxelcloud,,Excellent understanding of machine learning and data science.,Posted 30+ days ago·,,Los Angeles,CA,
129,"Senior Manager, Data Science & Analytics (Nordstrom Media Network)",Nordstrom Inc,,"8+ years’ experience in marketing and customer data science & analytics, preferably in retail/e-commerce industry.",Posted 1 day ago·,252500.0,Los Angeles,CA,
130,Senior Statistician (Fixed Hybrid),UCLA Health,,"You will collaborate with staff and faculty on data management, data quality control, statistical modeling, designing study databases, and applying skill in…",Posted 18 days ago·,175000.0,Los Angeles,CA,
131,Systems Safety Engineer (Associate or Mid-Level),BOEING,,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 11 days ago·,,Long Beach,CA,
132,Machine Learning Engineer,Centerfield,Hybrid,"You will help design the data science programs, machine learning models, and architecture to support Generative AI .",Posted 14 days ago·,180000.0,   Los Angeles,CA,
133,Staff Data Engineer,Metropolis,,"Create business data catalog and/or data dictionaries to document data lineages, data definitions and metadata for data domains.",Posted 30+ days ago·,,Los Angeles,CA,
134,Data Analyst,Zero Labs Automotive,,"Three (3) years experience working in data analysis, data science or related industry.",Posted 30+ days ago·,,Gardena,CA,
135,Sr. Data Scientist,CEDENT,Remote,Partner with cross-functional team to streamline data science solutions.,Posted 30+ days ago·,,  Los Angeles,CA,
136,"Assistant Vice President, Expense Management & Analysis (Business Intelligence)","Oaktree Capital Management, L.P.",,"The ideal candidate will have demonstrated success in a project management or data visualization role, with a focus on financial data.",Posted 30+ days ago·,150000.0,Los Angeles,CA,
137,"Data Reporting and Analytics Consultant IV / Biostatistician, Biostatistics Research",Kaiser Permanente,,Prepares data for analytic efforts by integrating and consolidating data; ensuring data quality and accuracy; profiling data inaccuracies and recommending…,Posted 30+ days ago·,,Pasadena,CA,
138,"Data Architect, Junior",Booz Allen,,"Ability to research and develop strategies for data acquisition, data migration, and data recovery.",Posted 30+ days ago·,102000.0,El Segundo,CA,
139,"Software Engineer, Starlink Customer Success",SpaceX,,"Professional experience in analytics, data science, or machine learning.",Posted 30+ days ago·,145000.0,Hawthorne,CA,
140,"Senior Manager, Biostatistics / Data Reporting and Analytics, KPSC R&E Behavioral & Health Services Research",Kaiser Permanente,,Manages data preparation for analytic efforts by integrating and consolidating data; ensuring data quality and accuracy; approving process improvements and…,Posted 30+ days ago·,,Pasadena,CA,
141,"Director, Analytics - Creator (Customer) Insights",Spotter,,Ability to troubleshoot data-related issues.,Posted 21 days ago·,500000.0,Los Angeles,CA,
142,Programmer Analyst,USC,,Develop web-based databases and tools to facilitate data analysis.,Posted 30+ days ago·,,Los Angeles,CA,
143,Applications Programmer III - Radiological Sciences,UCLA Health,,"Bachelor’s degree in Computer Science, Electrical engineering or related field - required * Masters degree in Informatics or related filed - preferred * At…",Posted 18 days ago·,154900.0,Los Angeles,CA,
144,"Electromagnetics Test and Evaluation Engineer (Associate, Mid-Level, Senior)",BOEING,,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 3 days ago·,,El Segundo,CA,
145,Lead Data Engineer (Machine Learning),ADP,,"You will lead a team of data engineers to ensure the efficient flow of data from various sources to support business intelligence, analytics, and machine…",Posted 3 days ago·,,Pasadena,CA,
146,"Developer, Data Insights & Analytics",USC,,This is the team to lead the database reporting and data science within its central Advancement branch.,Posted 30+ days ago·,,Los Angeles,CA,
147,"Data Scientist, Product Analytics",TikTok,Hybrid,"Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",Posted 30+ days ago·,228000.0,   Los Angeles,CA,
148,Senior Technical Data Analyst,System1,Hybrid,5+ years of experience in data analysis and visualization of large data sets.,Posted 30+ days ago·,,   Los Angeles,CA,
149,"Director, AI Strategy",Herbalife,Remote,"Collaborate with the data governance team to establish data quality, data privacy, and data security practices.",Posted 30+ days ago·,,  Torrance,CA,
150,REMS Educator,Inizio Engage,,"Inizio Engage has a long-standing partnership with a leading Biotechnology company across Commercial, Patient Solutions and Medical Affairs businesses. To…",Posted 5 days ag,,,CA,3.5
151,Sr. Bioinformatician - Jonsson Cancer Center,UCLA Health,,Description Thenewly formed Cancer Data Sciences group at the UCLA David Geffen School ofMedicine and UCLA Jonsson Cancer Centre is seeking a Senior…,Posted 30+ days ago·,,Los Angeles,CA,
152,Postdoctoral Scientist - Tatonetti Lab - Data-Driven Precision Pharmacology,CEDARS-SINAI,,Job Description Join us as we translate today's discoveries into tomorrow's medicine! The Postdoctoral Scientist in the Tatonetti Lab at Cedars-Sinai will…,Posted 30+ days ago·,93600.0,West Hollywood,CA,
153,Senior Machine Learning Engineer (Modeling) - Underwriting and Credit,Cash App,Remote,"Company Description It all started with an idea at Block in 2013. Initially built to take the pain out of peer-to-peer payments, Cash App has gone from a…",Posted 12 days ago·,,  Los Angeles,CA,
154,"Sr. Specialist, Advanced Analytics",DIRECTV,Remote,"DIRECTV is seeking a Sr. Specialist in Advanced Analytics to gather, analyze, and interpret a wide variety of operational and customer data to identify key…",Posted 11 days ago·,,  El Segundo,CA,
155,"Machine Learning Engineer, TikTok Branding Ads",TikTok,,Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices…,Posted 30+ days ago·,237500.0,Los Angeles,CA,
156,Data Analytics Manager,"Millennium Space Systems, A Boeing Company",,"Company Overview Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers. At Millennium, you…",Posted 30+ days ago·,,El Segundo,CA,
157,"Vice President, Analytics",Lionsgate,,"Department: Strategy & Innovation Location: Santa Monica, CA, US, 90404 Summary of Position Lionsgate is a leading entertainment company, dedicated to…",Posted 30+ days ago·,185000.0,Santa Monica,CA,
158,Sr. Business Data Analyst,Live Nation,,"Job Summary: WHO ARE WE? Live Nation Entertainment is the world’s leading live entertainment and eCommerce company, comprised of four market leaders:…",Posted 26 days ago·,,Beverly Hills,CA,
159,"Staff Machine Learning Engineer, Public Company",Recruiting From Scratch,,"Who is Recruiting from Scratch : Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…",Posted 29 days ago·,220000.0,Torrance,CA,
160,"Staff Machine Learning Engineer, 8+ Years of Experience",Snapchat,,Snap Inc is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. Snap contributes to…,Posted 30+ days ago·,283000.0,Los Angeles,CA,
161,"Manager, Ads FS&A - Revenue & Yield Analytics (UCAN)",Netflix,,"Los Angeles, California Finance New York, Los Angeles, Los Gatos Finance, Strategy & Analysis It's an exciting time to join Netflix as we continue to…",Posted 25 days ago·,,Los Angeles,CA,
162,"Senior Manager, Data Strategy",ServiceTitan,,"Company Description About ServiceTitan ServiceTitan is the world’s leading and fastest-growing software technology platform for the trades, a trillion…",Posted 30+ days ago·,,Glendale,CA,
163,Analytics Manager,Alo Yoga,,WHY JOIN ALO? Mindful movement. It's at the core of why we do what we do at Alo—it's our calling. Because mindful movement in the studio leads to better…,Posted 30+ days ago·,,Beverly Hills,CA,
164,Marketing Science Partner - Amazon,Meta,,"Facebook is seeking exceptional candidates to join the Marketing Science team. In this role, you will be leading measurement strategy for one of the most…",Posted 30+ days ago·,221000.0,Los Angeles,CA,
165,Director of Partnerships,STRV,,"Lead from the front, exemplifying independence, strategic thinking and decision-making in all parts of the sales cycle while helping their team do the same.",Posted 30+ days ago·,,Los Angeles,CA,
166,Conversational AI / NLP Engineer,Alelo,,Demonstrated ability to draw insights from user data and use them to drive product improvements.,Posted 30+ days ago·,,Los Angeles,CA,
167,"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,,"⦁ Undergraduate education in data science or analytics, computer science, statistics, business, sciences, or equivalent relatable combination of work experience…",Posted 30+ days ago·,,Commerce,CA,
168,Engineer- Leadership Development Program,"Pinnacle Asset Integrity Services, LLC",,Solve complex problems using data and critical thinking while following Recognized and Generally Accepted Good Engineering Practices (RAGEGAP).,Posted 7 days ago·,,El Segundo,CA,
169,"Analytics Lead, Wondery",Wondery LLC - L79,,"Master's degree in statistics, data science, or an equivalent quantitative field.",Posted 26 days ago·,104300.0,Culver City,CA,
170,Adjunct Lecturer/Co-Instructor of Communication – Methodological Fundamentals of Big Data in Communication,USC,,"Work experience in research and data science functions in social media, games, entertainment, content and/or consumer facing sectors such as Meta, Google, Apple…",Posted 11 days ago·,,Los Angeles,CA,
171,Software Engineer,National Football League,,"Degree in computer science, engineering, data science or related field preferred.",Posted 30+ days ago·,,Inglewood,CA,
172,Electrical Power and Harness Subsystem Engineer,BOEING,,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 3 days ago·,141450.0,El Segundo,CA,
173,Artificial Intelligence for Planetary Science Discovery in Legacy Data,National Aeronautics and Space Administration...,,"Additional benefit would be provided by past experience with planetary image datasets, data science tools, Geographic Information Software, as well as an…",Posted 24 days ago·,,Pasadena,CA,
174,"Executive Director, Data Solutions Business Partnerships","Sony Pictures Entertainment, Inc.",,"Provide ongoing data product, advanced analytics and data-science Solutioning development support and coordination, representing business to support solution…",Posted 30+ days ago·,,Culver City,CA,
175,Machine Learning Engineer,Voxelcloud,,Provide insights to data collection and annotation and collaborate with the data team for in-house data management and labelling.,Posted 30+ days ago·,,Los Angeles,CA,
176,Global Sr. Director of Growth,Acorns,,"Experience working cross-functionally with analytics, data science, creative, and product to drive growth KPIs.",Posted 30+ days ago·,250000.0,Los Angeles,CA,
177,"(Open Rank) Assistant, Associate, Full Professor of Industrial and Systems Engineering",USC,,Candidates at the senior ranks must have demonstrated research excellence and sustained commitment to the discipline and are expected to have a vibrant research…,Posted 30+ days ago·,,Los Angeles,CA,
178,"Product Manager, Generative AI",Snapchat,,"Ability to collaborate and build trust with engineers, designers, data science and other cross-functional teammates.",Posted 30+ days ago·,257000.0,Los Angeles,CA,
179,Vaccine Specialist Representative,Inizio Engage,,"Our passionate, global workforce augments local expertise and diverse mix of skills with data, science, and technology to deliver bespoke engagement solutions…",Posted 30+ days ag,,,CA,3.5
180,Consultant Artificial Intelligence / Machine Learning Engineer (AI/ML),Specular Theory,,Help leverage our in-house technology and ensure our system can also communicate and utilize existing AI/ML systems.,Posted 30+ days ago·,,Venice,CA,
181,Senior Data Engineer - Remote (US Based),UpRecruit,Remote,"Collaborate with data science and product management teams to design, prototype, and launch new data products swiftly.",Active 2 days ago·,180000.0,  Los Angeles,CA,
182,"Tech Lead Machine Learning Engineer, TikTok Branding Ads",TikTok,,"Relevant professional experience with machine learning, data mining, data analysis, distribution system.",Posted 30+ days ago·,389500.0,Los Angeles,CA,
183,"Manager, Commerce Analytics - Subscriber Lifecycle Analytics",Disney Direct to Consumer,,Experience manipulating large data sets and interpreting data trends using a multitude of disparate data sources and tools.,Posted 30+ days ago·,191100.0,Santa Monica,CA,
184,"Patents | Patent Agent (Biophysics, Bioinformatics, AI Machine Learning)",Norton Rose Fulbright,,"Norton Rose Fulbright is seeking a registered Patent Agent with a degree and/or experience in biophysics, biomedical engineering, computational biology,…",Posted 6 days ago·,,Los Angeles,CA,
185,"Director, Inventory & Yield Management",GoodRx,,4+ years experience in quantitative or data analysis/data science.,Posted 30+ days ago·,279000.0,Santa Monica,CA,
186,Senior Product Manager,Sidecar Health,Remote,"Bachelor's or master's degree in computer science, data science, information systems, business administration, or a related field.",Posted 30+ days ago·,,  Los Angeles,CA,
187,"Manager, Machine Learning",Numerade,Remote,Experience with data warehouses and data lakes.,Posted 30+ days ago·,,  Los Angeles,CA,
188,Senior Machine Learning Engineer,Freeform,,"Master's or PhD in computer science, applied mathematics, machine learning, data science highly preferred.",Posted 21 days ago·,250000.0,Los Angeles,CA,
189,"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,,"⦁ Undergraduate education in data science or analytics, computer science, statistics, business, sciences, or equivalent relatable combination of work experience…",Posted 20 days ago·,,Commerce,CA,
190,Programmer/Analyst (Research Software Engineer) - Slomka Lab - Artificial Intelligence in Medicine (AIM) Program,CEDARS-SINAI,,"Develops software methods for deep learning analysis and segmentation of image data, and data reconstruction.",Posted 30+ days ago·,137300.0,Los Angeles,CA,
191,Postdoctoral Scientist - Multi-modal Neuroimaging Analysis with Machine Learning – Al-Louzi/Sati lab,Springer Nature,,Exceptional candidates with a demonstrated track record and experience in neuroimaging and data science.,Posted 3 days ago·,93600.0,Los Angeles,CA,
192,Decision Scientist - Metaverse,Meta,,"Experience finding, cleaning, and manipulating data to build data sets.",Posted 17 days ago·,185000.0,Los Angeles,CA,
193,"Data Analyst 3, Marketing Optimization",Nordstrom Inc,,"Here we build data science products and provide analytics consulting in support of strategic business decisions, including customer segmentation, marketing,…",Posted 6 days ago·,147000.0,Los Angeles,CA,
194,"Senior Data Engineer, Blockchain",Circle,Remote,"Being a domain expert on data modeling, data pipelines, data quality and data warehousing.",Posted 8 days ago·,195000.0,  Los Angeles,CA,
195,Software Engineer II,Dyno Labs,,"Experience in working with big data technologies (e.g., Apache Spark, Hadoop) for data processing and model training.",Posted 30+ days ago·,,Los Angeles,CA,
196,"Senior Analytics Engineer, ASE",Apple,,"7+ years of experience building self serve data products for internal partners, or in other relevant data engineering or data science capacities.",Posted 8 days ago·,284900.0,Culver City,CA,
197,Lead Hardware Reliability Engineer (Starlink Product),SpaceX,,"Professional experience in analytics, data science, or machine learning.",Posted 28 days ago·,175000.0,Hawthorne,CA,
198,Machine Learning in Survey Cosmology,National Aeronautics and Space Administration...,,These applications could notably enhance astronomical measurements from combined data sets.,Posted 24 days ago·,,Pasadena,CA,
199,Postdoctoral Scientist - Multi-modal Neuroimaging Analysis with Machine Learning – Al-Louzi/Sati labs - Department of Neurology,CEDARS-SINAI,,Exceptional candidates with a demonstrated track record and experience in neuroimaging and data science.,Posted 5 days ago·,93600.0,Los Angeles,CA,
200,"Manager, Statistical Programming",Arrowhead Pharmaceuticals,,Collaborate with data management and their programming team to ensure appropriate data collection and reporting.,Posted 30+ days ago·,165000.0,Pasadena,CA,
201,Financial Reporting Specialist (Flexible),"Lakeshore Learning Materials, LLC",,"Strong technical skills in Excel and other data tools, certification highly preferred.",Posted 25 days ago·,54080.0,Long Beach,CA,
202,Sales Director,Pixability,,Phenomenal presentation skills that bring data and analytics to life with an affinity for understanding and leveraging data to support your clients.,Posted 4 days ago·,,Los Angeles,CA,
203,Principal AM Process Development Engineer,Divergent 3D,,7)Assure proper formulation and design of experiments and thorough documentation of technical data generated for the assigned projects and / or tasks consistent…,Posted 30+ days ago·,210000.0,Torrance,CA,
204,Lead Data Engineer,tvScientific,Remote,We leverage massive data and cutting-edge science to automate and optimize TV advertising to drive business outcomes.,Posted 14 days ago·,210000.0,  Los Angeles,CA,
205,Director of Marketing,AE Studio,,"Oversee content creation and distribution, especially in the areas of software, data science, and AI.",Posted 30+ days ago·,,Los Angeles,CA,
206,Master of Applied Statistics and Data Science Lecturer - Spring 2024,UCLA,,"Ideal candidates will have a Ph.D. in Statistics (or a related field) or relevant industry experience, a demonstrated excellence in teaching, knowledge of and…",Posted 25 days ago·,109516.0,Los Angeles,CA,
207,DATA SCIENTIST,County of Los Angeles,,Develops relationships with local academic data science programs to foster recruitment of data science interns and is responsible for overseeing their work on…,Posted 30+ days ago·,,Los Angeles,CA,
208,"Senior Manager, Data Science - Advertising Measurement - Walmart Connect",Walmart,,Partner with cross-functional team to streamline data science solutions.,Posted 30+ days ago·,264000.0,Los Angeles,CA,
209,"Senior Data Scientist, Blockchain",Circle,Remote,"5+ years of experience in data analysis or data science, with 2+ years focusing on blockchain data.",Posted 21 days ago·,195000.0,  Los Angeles,CA,
210,Senior Manager Marketing Analytics DIG,Providence Digital Innovation Group,,"Description The Senior Manager, Marketing Analytics works alongside marketing directors, marketing engineering and architecture, and executives in providing…",Posted 30+ days ago·,275828.80000000005,Los Angeles,CA,
211,Senior ML Engineer,Kindo,,Job Title: Senior ML Engineer (Deep Learning and Generative Models) Company Overview: We are an innovative startup company at the forefront of the AI…,Posted 30+ days ago·,,Venice,CA,
212,Artificial Intelligence modelling of Europa’s Space Environment and Ionosphere,National Aeronautics and Space Administration...,,Organization National Aeronautics and Space Administration (NASA) Reference Code 0267-NPP-JUL24-JPL-PlanetSci How to Apply All applications must be submitted…,Posted 24 days ago·,,Pasadena,CA,
213,Cardiology - Center for Cardiac Arrest Prevention- Computational Research Scientist Faculty,CEDARS-SINAI,,The Smidt Heart Institute at Cedars-Sinai Medical Center invites applications for a Research Scientist faculty position to join the Center for Cardiac Arrest…,Posted 30+ days ago·,265200.0,Los Angeles,CA,
214,Postdoctoral Scientist - Smidt Heart Institute - Karlstaedt Lab,CEDARS-SINAI,,Job Description The Karlstaedt Lab is looking for a Postdoctoral Fellow to join an ambitious collaborative project to decipher metabolic interactions between…,Posted 30+ days ago·,93600.0,Los Angeles,CA,
215,Marketing Insights Research - Reality Labs VR/AR,Meta,,"Our Reality Labs (RL) organization brings together world-class experts to develop and ship groundbreaking products at the intersection of hardware, software,…",Posted 30+ days ago·,162000.0,Los Angeles,CA,
216,Senior Manager Planning & Analytics - Domestic Sales,Anastasia Beverly Hills,,This position is responsible for supporting the objectives of the Domestic Sales team with compelling data and analytical solutions. Ability to collaborate…,Posted 20 days ago·,135000.0,Beverly Hills,CA,
